name 	height 	weight
2 Cold Scorpio 	5’11” 	229 lbs.
Abbey Laith 	5’4″ 	125 lbs.
Abdullah the Butcher 	6’0″ 	360 lbs.
Abyss 	6’8″ 	350 lbs.
ACH 	5’9″ 	190 lbs.
Adam Cole 	5’11” 	210 lbs.
Adam Rose 	6’1″ 	205 lbs.
Adam “Hangman” Page 	6’0″ 	214 lbs.
Adrian Adonis 	6’1″ 	338 lbs.
Ahmed Johnson 	6’2″ 	265 lbs.
Aiden English 	6’3″ 	215 lbs.
AJ Lee 	5’2″ 	115 lbs.
AJ Styles 	5’11” 	215 lbs.
Akam 	6’3″ 	290 lbs.
Akeem 	6’9″ 	457 lbs.
Akira Tozawa 	5’7″ 	180 lbs.
Al Snow 	5’11” 	234 lbs.
Albert 	6’7″ 	350 lbs.
Alberto Del Rio 	6’5″ 	239 lbs.
Aleister Black 	5’11” 	212 lbs.
Alex Riley 	6’2″ 	236 lbs.
Alex Shelley 	5’10” 	215 lbs.
Alexa Bliss 	5’1″ 	102 lbs.
Alexander Wolfe 	6’2″ 	231 lbs.
Alicia Fox 	5’9″ 	120 lbs.
Aliyah 	5’3″ 	112 lbs.
Allie 	5’10” 	120 lbs.
Amazing Red 	5’6″ 	150 lbs.
Anarquia 	6’0″ 	230 lbs.
Andrade Cien Almas 	5’11” 	180 lbs.
Andre The Giant 	7’4″ 	520 lbs.
Andrew Everett 	5’9″ 	170 lbs.
Angelina Love 	5’6″ 	118 lbs.
Angelo Dawkins 	6’5″ 	280 lbs.
Angélico 	6’3″ 	198 lbs.
Apollo Crews 	6’1″ 	240 lbs.
Arn Anderson 	6’0″ 	249 lbs.
Asuka 	5’3″ 	137 lbs.
Austin Aries 	5’9″ 	202 lbs.
Awesome Kong (Dwayne McCullough) 	6’5″ 	466 lbs.
Awesome Kong (Kia Stevens) 	5’11” 	272 lbs.
Bad News Brown 	6’1″ 	271 lbs.
Balls Mahoney 	6’2″ 	310 lbs.
Bam Bam Bigelow 	6’3″ 	368 lbs.
Baron Corbin 	6’8″ 	275 lbs.
Barry Horowitz 	6’0″ 	221 lbs.
Barry Windham 	6’5″ 	273 lbs.
Bart Gunn 	6’5″ 	260 lbs.
Bastion Booger 	6’3″ 	401 lbs.
Batista 	6’6″ 	290 lbs.
Bayley 	5’6″ 	119 lbs.
Bea Priestley 	5’8″ 	137 lbs.
Becky Lynch 	5’6″ 	135 lbs.
Benny McCrary 	6’0″ 	723 lbs.
Bertha Faye 	5’8″ 	260 lbs.
Beth Phoenix 	5’7″ 	150 lbs.
Bianca Belair 	5’7″ 	155 lbs.
Big Boss Man 	6’6″ 	305 lbs.
Big Cass 	7’0″ 	276 lbs.
Big E 	5’11” 	290 lbs.
Big John Studd 	6’10” 	342 lbs.
Big Show 	7’0″ 	485 lbs.
Big Vito 	6’2″ 	249 lbs.
Bill Goldberg 	6’4″ 	290 lbs.
Billie Kay 	5’8″ 	132 lbs.
Billy Gunn 	6’4″ 	254 lbs.
Billy McCrary 	6’0″ 	743 lbs.
Blackjack Mulligan 	6’7″ 	340 lbs.
Blake 	6’1″ 	240 lbs.
Blue Meanie 	6’1″ 	275 lbs.
Bo Dallas 	6’1″ 	234 lbs.
Bob Backlund 	6’1″ 	234 lbs.
Bob Holly 	6’1″ 	231 lbs.
Bobby Fish 	5’11” 	197 lbs.
Bobby Lashley 	6’3″ 	273 lbs.
Bobby Roode 	6’0″ 	235 lbs.
Booker T 	6’3″ 	253 lbs.
Brad Armstrong 	6’0″ 	226 lbs.
Bradshaw 	6’6″ 	280 lbs.
Brandi Rhodes 	5’6″ 	115 lbs.
Brandon Cutler 	6’2″ 	169 lbs.
Braun Strowman 	6’8″ 	385 lbs.
Braxton Sutter 	6’0″ 	220 lbs.
Bray Wyatt 	6’3″ 	285 lbs.
Bret Hart 	6’0″ 	234 lbs.
Brian Adams 	6’6″ 	318 lbs.
Brian Christopher 	5’10” 	230 lbs.
Brian Kendrick 	5’8″ 	157 lbs.
Brian Knobbs 	6’1″ 	295 lbs.
Brian Pillman 	6’0″ 	226 lbs.
Brie Bella 	5’6″ 	120 lbs.
British Bulldog Davey Boy Smith 	5’10” 	253 lbs.
Britt Baker 	5’7″ 	121 lbs.
Brock Lesnar 	6’3″ 	286 lbs.
Brodus Clay 	6’7″ 	375 lbs.
Brooklyn Brawler 	6’0″ 	231 lbs.
Bruiser Brody 	6’8″ 	283 lbs.
Bruno Sammartino 	5’10” 	265 lbs.
Brutus Beefcake 	6’3″ 	271 lbs.
Bubba Ray Dudley 	6’4″ 	326 lbs.
Buddy Roberts 	5’11” 	225 lbs.
Buff Bagwell 	6’1″ 	240 lbs.
Bull Buchanan 	6’7″ 	275 lbs.
Bull Dempsey 	6’2″ 	300 lbs.
Bushwacker Butch 	6’0″ 	255 lbs.
Bushwacker Luke 	6’1″ 	244 lbs.
Buzz Sawyer 	5’11” 	240 lbs.
Byron Saxton 	6’1″ 	212 lbs.
C.W. Anderson 	6’1″ 	245 lbs.
Cameron 	5’4″ 	120 lbs.
Candice LeRae 	5’2″ 	110 lbs.
Candice Michelle 	5’7″ 	120 lbs.
Carmella 	5’5″ 	110 lbs.
Cedric Alexander 	5’10” 	200 lbs.
Cesaro 	6’5″ 	232 lbs.
Chad Gable 	5’8″ 	203 lbs.
Charlotte Flair 	5’10” 	144 lbs.
Chaz 	6’1″ 	231 lbs.
Chief Jay Strongbow 	6’0″ 	260 lbs.
Chris Benoit 	5’11” 	220 lbs.
Chris Candido 	5’8″ 	226 lbs.
Chris Jericho 	6’0″ 	225 lbs.
Chris Masters 	6’4″ 	265 lbs.
Chris Sabin 	5’10” 	205 lbs.
Christian 	6’2″ 	227 lbs.
Christopher Daniels 	6’0″ 	224 lbs.
Christy Hemme 	5’6″ 	116 lbs.
Chuck Taylor 	6’2″ 	210 lbs.
Chyna 	6’0″ 	200 lbs.
Cima 	5’9″ 	181 lbs.
CM Punk 	6’1″ 	222 lbs.
Cody Rhodes (Stardust) 	6’1″ 	223 lbs.
Colt Cabana 	6’1″ 	233 lbs.
Corey Graves 	6’1″ 	208 lbs.
Crash Holly 	5’7″ 	200 lbs.
Crusher Jerry Blackwell 	5’9″ 	474 lbs.
Curt Hawkins 	6’1″ 	236 lbs.
Curt Hennig 	6’3″ 	257 lbs.
Curtis Axel 	6’3″ 	227 lbs.
Curtis Hughes 	6’5″ 	308 lbs.
D-Von Dudley 	6’2″ 	280 lbs.
Dakota Kai 	5’6″ 	121 lbs.
Dalton Castle 	5’11” 	219 lbs.
Damien Sandow 	6’4″ 	247 lbs.
Dana Brooke 	5’3″ 	125 lbs.
Daniel Bryan 	5’10” 	210 lbs.
Danielle Kamela 	5’5″ 	130 lbs.
Danny Burch 	6’0″ 	190 lbs.
Danny Doring 	5’10” 	201 lbs.
Darby Allin 	5’8″ 	180 lbs.
Darren Young 	6’1″ 	239 lbs.
Dash Wilder 	5’10” 	222 lbs.
David Hart Smith 	6’5″ 	250 lbs.
David Otunga 	6’0″ 	229 lbs.
Dawn Marie 	5’8″ 	125 lbs.
Dean Malenko 	5’9″ 	216 lbs.
Debra 	5’6″ 	152 lbs.
Demolition Ax 	6’3″ 	291 lbs.
Demolition Smash 	6’2″ 	292 lbs.
Dennis Knight 	6’7″ 	310 lbs.
Deonna Purrazzo 	5’2″ 	130 lbs.
Devin Taylor 	5’4″ 	115 lbs.
Dezmond Xavier 	5’9″ 	190 lbs.
Diamond Dallas Page 	6’5″ 	260 lbs.
Dick Murdoch 	6’4″ 	275 lbs.
Dink the Clown 	4’0″ 	95 lbs.
Dino Bravo 	6’1″ 	265 lbs.
Disciple 	6’4″ 	271 lbs.
Disco Inferno 	6’0″ 	238 lbs.
Doink the Clown 	6’0″ 	243 lbs.
Dolph Ziggler 	6’0″ 	223 lbs.
Donovan Dijak 	6’7″ 	270 lbs.
Doug Furnas 	5’11” 	243 lbs.
Douglas Williams 	5’10” 	225 lbs.
Drake Maverick / Rockstar Spud 	5’4″ 	140 lbs.
Drew Gulak 	6’0″ 	193 lbs.
Drew McIntyre 	6’5″ 	256 lbs.
Duane Gill 	6’0″ 	227 lbs.
Duke Droese 	6’5″ 	306 lbs.
Dustin Rhodes / Goldust 	6’6″ 	238 lbs.
Dusty Rhodes 	6’2″ 	302 lbs.
Dynamite Kid 	5’8″ 	228 lbs.
D’Angelo Dinero 	6’0″ 	220 lbs.
D’Lo Brown 	6’3″ 	275 lbs.
Earthquake 	6’7″ 	451 lbs.
EC3 	6’2″ 	246 lbs.
Eddie Guerrero 	5’8″ 	221 lbs.
Edge 	6’4″ 	240 lbs.
El Torito 	4’5″ 	110 lbs.
Eli Cottonwood 	7’0″ 	313 lbs.
Eli Drake 	6’2″ 	232 lbs.
Elias 	6’1″ 	222 lbs.
Ember Moon 	5’2″ 	120 lbs.
Emma 	5’5″ 	132 lbs.
Enzo Amore 	5’11” 	200 lbs.
Epico Colon 	6’0″ 	217 lbs.
Eric Bischoff 	5’10” 	195 lbs.
Eric Young 	5’11” 	225 lbs.
Erick Rowan 	6’8″ 	315 lbs.
Espectrito 	4’9″ 	143 lbs.
Espectrito II 	4’7″ 	135 lbs.
Essa Rios 	5’9″ 	195 lbs.
Eva Marie 	5’8″ 	125 lbs.
Evan Bourne 	5’9″ 	183 lbs.
Eve Torres 	5’8″ 	131 lbs.
Excalibur 	6’2″ 	183 lbs.
Ezekiel Jackson 	6’4″ 	309 lbs.
Faarooq 	6’2″ 	272 lbs.
Fabulous Moolah 	5’6″ 	138 lbs.
Fandango 	6’4″ 	244 lbs.
Fenix 	5’9″ 	163 lbs.
Finlay 	5’10” 	233 lbs.
Finn Bálor 	5’11” 	200 lbs.
Francine 	5’7″ 	117 lbs.
Frankie Kazarian 	6’1″ 	215 lbs.
Freddie Joe Floyd 	6’1″ 	227 lbs.
Gail Kim 	5’4″ 	125 lbs.
Gangrel 	6’0″ 	240 lbs.
Gene Snitsky 	6’4″ 	285 lbs.
General Adnan 	6’0″ 	255 lbs.
Genius, The 	6’0″ 	252 lbs.
George The Animal Steele 	6’1″ 	288 lbs.
Giant Gonzalez 	7’7″ 	460 lbs.
Giant Silva 	7’2″ 	385 lbs.
Glacier 	6’2″ 	245 lbs.
Godfather, The 	6’6″ 	320 lbs.
Goldberg 	6’4″ 	285 lbs.
Golga 	6’4″ 	462 lbs.
Gran Metalik 	5’9″ 	175 lbs.
Great Khali, The 	7’1″ 	347 lbs.
Greg “The Hammer” Valentine 	6’0″ 	248 lbs.
Gunner 	6’2″ 	247 lbs.
Hacksaw Jim Duggan 	6’3″ 	280 lbs.
Haku 	6’0″ 	273 lbs.
Happy Humphrey 	6’1″ 	800 lbs.
Hardcore Holly 	6’1″ 	230 lbs.
Haystacks Calhoun 	6’4″ 	640 lbs.
Headbanger Mosh 	6’0″ 	243 lbs.
Headbanger Thrasher 	6’2″ 	242 lbs.
Heath Slater 	6’2″ 	232 lbs.
Hercules 	6’1″ 	275 lbs.
Hernandez 	6’2″ 	285 lbs.
Hideo Itami 	5’9″ 	182 lbs.
Hikaru Shida 	5’4″ 	126 lbs.
Hillbilly Jim 	6’7″ 	286 lbs.
Hiroshi Tanahashi 	5’11” 	227 lbs.
Ho Ho Lun 	5’10” 	155 lbs.
Honky Tonk Man 	6’1″ 	247 lbs.
Hornswoggle 	4’5″ 	142 lbs.
Hulk Hogan 	6’7″ 	303 lbs.
Hunico 	5’10” 	205 lbs.
Hurricane Helms 	5’10” 	191 lbs.
Iron Shiek 	6’0″ 	262 lbs.
Irwin R. Scheister 	6’3″ 	248 lbs.
Ivory 	5’5″ 	135 lbs.
Jack Evans 	5’8″ 	165 lbs.
Jack Gallagher 	5’8″ 	167 lbs.
Jack Swagger 	6’6″ 	263 lbs.
Jackson Andrews 	7’1″ 	340 lbs.
Jacqueline 	5’3″ 	119 lbs.
Jake “The Snake” Roberts 	6’5″ 	253 lbs.
James Ellsworth 	5’9″ 	169 lbs.
James Storm 	6’0″ 	230 lbs.
Jamie Noble 	5’9″ 	202 lbs.
Jason Jordan 	6’3″ 	245 lbs.
Jay Lethal 	5’10” 	215 lbs.
Jazz 	5’4″ 	150 lbs.
Jazzy Gabert 	6’1″ 	190 lbs.
Jeff Cobb 	5’10” 	263 lbs.
Jeff Hardy 	6’2″ 	215 lbs.
Jeff Jarrett 	6’1″ 	235 lbs.
Jerry Lawler 	6’0″ 	243 lbs.
Jerry Lynn 	5’11” 	212 lbs.
Jerry Saggs 	6’3″ 	290 lbs.
Jessamyn Duke 	5’11” 	136 lbs.
Jesse Neal 	6’0″ 	220 lbs.
Jesse Ventura 	6’2″ 	245 lbs.
Jey Uso 	6’2″ 	235 lbs.
Jillian Hall 	5’6″ 	130 lbs.
Jim Duggan 	6’3″ 	280 lbs.
Jim Neidhart 	6’2″ 	281 lbs.
Jimmy Garvin 	5’10” 	235 lbs.
Jimmy Hart 	5’10” 	166 lbs.
Jimmy Havoc 	5’10” 	169 lbs.
Jimmy Uso 	6’2″ 	240 lbs.
Jimmy “Superfly” Snuka 	6’0″ 	250 lbs.
Jinder Mahal 	6’5″ 	240 lbs.
Joey Janela 	5’8″ 	183 lbs.
Joey Mercury 	5’9″ 	191 lbs.
Joey Ryan 	5’10” 	210 lbs.
John Cena 	6’1″ 	251 lbs.
John Morrison (Johnny Impact) 	6’1″ 	224 lbs.
Johnny Curtis 	6’3″ 	240 lbs.
Johnny Gargano 	5’10” 	170 lbs.
Johnny the Bull 	6’0″ 	250 lbs.
JoJo 	5’2″ 	110 lbs.
Jon Heidenreich 	6’7″ 	300 lbs.
Jon Moxley / Dean Ambrose 	6’4″ 	234 lbs.
Jordan Devlin 	5’10” 	180 lbs.
Joseph Conners 	6’1″ 	196 lbs.
JTG 	6’1″ 	230 lbs.
Jungle Boy 	5’10” 	150 lbs.
Junkyard Dog 	6’3″ 	280 lbs.
